"logPow {predicted by ochem.eu/model/4 in Log unit}","Aqueous Solubility {predicted by ochem.eu/model/4 in -log(mol/L)}"
"4.42","5.17"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"6.21","4.73"
"6.45","5.09"
"-","-"
"-","-"
"2.55","3.98"
"-2.77","0.551"
"-2.82","0.386"
"-3.02","0.613"
"-2.45","0.625"
"-2.87","1.47"
"-3.24","0.416"
"-3.33","0.295"
"-2.37","1.18"
"4.41","4.66"
"-1.34","2.96"
"-3.73","-0.138"
"-2.36","2.57"
"0.349","1.56"
"1.38","2.85"
"2.12","3.37"
"1.83","3.38"
"1.83","3.51"
"-0.873","1.27"
"-4.14","-0.0392"
"-4.15","-0.0488"
"-3.33","-0.747"
"-2.33","-0.46"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"0.616","0.342"
"0.648","0.497"
"1.63","1.48"
"-","-"
"-3.19","1.9"
"-3.17","1.97"
"-2.33","1.75"
"3.36","3.73"
"3.09","2.9"
"-3.19","0.617"
"-3.23","0.798"
"-1.58","0.809"
"-3.02","0.32"
"-3.24","1.46"
"-3.23","1.49"
"-2.64","0.145"
"2.21","2.61"
"1.54","3.82"
"-3.49","1.14"
"-2.66","2.0"
"4.42","5.17"
"4.31","4.56"
"-1.07","-0.0988"
"-3.11","1.92"
"-3.27","0.412"
"-3.33","1.14"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"4.33","5.25"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"1.88","0.949"
"1.79","1.22"
"3.79","3.83"
"3.35","4.27"
"6.29","4.22"
"6.21","4.73"
"6.45","5.09"
"3.4","2.86"
"4.21","3.4"
"3.43","5.18"
"2.55","3.98"
"5.68","6.14"
"0.349","1.56"
"-0.873","1.27"
"-","-"
"3.29","4.47"
"0.783","1.82"
"1.53","1.84"
"7.44","7.4"
"7.8","7.9"
"-1.68","1.78"
"0.115","2.26"
"-1.54","0.666"
"-1.26","0.769"
"5.67","5.94"
"3.17","3.22"
"-","-"
"-","-"
"-2.0","-0.117"
"0.134","2.61"
"0.414","1.72"
"0.435","1.74"
"-0.261","3.17"
"-3.2","1.84"
"5.12","6.27"
"1.2","2.71"
"-","-"
"-","-"
"-","-"
"-0.39","1.07"
"-2.31","0.962"
"-1.48","0.166"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-2.38","-0.732"
"-","-"
"-","-"
"-0.0453","-0.43"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
